Tanggal,KWH_EXP,Tavg,RH_avg,RR,ss
2019-01-01,1.704497145987168,25.7,96,12.9,7.5
2019-01-02,1.8014607404366034,25.9,90,42.7,6.7
2019-01-03,1.6062320025418788,24.9,94,0.5,0.1
2019-01-04,1.2205333476698448,25.8,88,34.6,0.1
2019-01-04,1.2205333476698448,27.0,77,0.0,8.1
2019-01-05,0.9806119431598916,26.7,88,2.1,3.2
2019-01-05,0.9806119431598916,26.2,89,64.6,4.1
2019-01-06,1.01700833907127,26.3,87,0.0,9.2
2019-01-07,0.9097923820360821,26.5,84,0.2,5.5
2019-01-07,0.9097923820360821,26.1,71,0.0,10.0
2019-01-08,0.9716298954768569,27.5,82,2.9,10.0
2019-01-09,0.9579597713216396,27.6,84,0.0,10.0
2019-01-09,0.9579597713216396,25.9,68,0.0,10.5
2019-01-10,0.884515959590188,27.6,82,0.0,11.8
2019-01-10,0.884515959590188,28.7,63,0.0,10.8
2019-01-11,1.341128476578149,27.5,85,0.0,9.6
2019-01-11,1.341128476578149,29.3,69,0.0,9.6
2019-01-12,1.0535087536246284,27.5,83,0.0,8.3
2019-01-12,1.0535087536246284,29.4,76,8888.0,8.5
2019-01-13,0.8638691056331211,26.6,86,0.0,9.7
2019-01-14,0.873111375197725,26.3,86,12.8,9.5
2019-01-15,0.7215941453543314,26.1,87,8888.0,9.2
2019-01-16,0.9429416006186235,25.6,91,34.8,5.6
2019-01-17,1.2412255623282162,25.4,91,22.3,1.1
2019-01-18,0.9904555577830022,26.0,90,104.0,0.5
2019-01-19,1.1958425310326795,27.2,88,0.6,3.8
2019-01-20,1.683782332268614,26.2,90,0.0,6.4
2019-01-21,2.2410170819161763,26.7,89,25.7,5.3
2019-01-22,3.0264553102135943,26.3,88,41.0,6.9
2019-01-23,2.036754062007432,26.4,86,37.6,0.5
2019-01-24,1.8768582649785541,27.4,74,0.2,0.0
2019-01-25,3.594970161969514,27.6,82,7.3,3.1
2019-01-26,3.437060260518979,27.7,86,0.2,4.9
2019-01-27,4.283500146596679,26.5,87,21.0,10.1
2019-01-28,7.011311091583102,26.4,90,19.6,1.2
2019-01-29,2.7706057344391812,26.0,91,11.5,0.8
2019-01-30,2.683061400885139,25.7,88,1.2,5.1
2019-01-31,2.595517067331096,26.8,85,11.8,6.2
2019-02-01,2.5079727337770534,25.9,89,0.2,5.9
2019-02-02,2.420428400223011,26.3,89,9.9,5.5
2019-02-03,2.3328840666689685,26.7,86,11.3,6.4
2019-02-04,4.061312665327373,26.1,91,0.0,9.3
2019-02-04,4.061312665327373,26.1,85,0.1,8.2
2019-02-05,4.557462243899995,26.2,90,17.0,5.8
2019-02-05,4.557462243899995,26.2,88,6.7,7.0
2019-02-06,3.896538794818875,25.9,91,6.0,5.7
2019-02-07,2.7717317923160674,26.1,90,21.3,3.0
2019-02-07,2.7717317923160674,27.1,76,0.0,10.0
2019-02-08,3.34982482052361,26.8,85,1.0,5.4
2019-02-09,2.611862701839811,27.2,85,0.1,4.2
2019-02-09,2.611862701839811,26.0,70,0.0,10.7
2019-02-10,3.623576659708682,26.9,82,1.3,7.4
2019-02-10,3.623576659708682,27.6,74,0.0,11.0
2019-02-11,4.508772533651242,26.7,87,0.0,7.7
2019-02-11,4.508772533651242,27.7,78,0.0,8.2
2019-02-12,4.898687045957361,26.0,92,128.0,6.4
2019-02-12,4.898687045957361,28.7,69,0.0,11.5
2019-02-13,4.564786118206403,25.4,95,73.1,1.7
2019-02-14,4.651936899006758,26.5,86,12.0,0.0
2019-02-15,4.813584026048178,26.0,85,0.0,10.1
2019-02-16,4.9681644196977786,27.2,81,3.0,9.5
2019-02-17,5.837156784186625,27.3,81,0.0,11.4
2019-02-18,5.61538329868342,26.8,90,4.5,9.4
2019-02-19,5.652283150964764,26.7,86,8888.0,2.5
2019-02-20,4.9632940143742745,26.7,84,0.0,7.6
2019-02-21,4.7088332285970145,26.8,85,8888.0,6.8
2019-02-22,7.435131791843687,26.5,85,8888.0,6.7
2019-02-23,5.367302207308587,26.7,83,0.0,7.0
2019-02-24,5.118116051819865,27.3,82,8888.0,9.3
2019-02-25,7.670028333535698,28.0,80,0.0,10.8
2019-02-26,5.644685432144402,28.6,79,0.0,10.9
2019-02-27,5.346869824001665,28.7,78,0.0,11.6
2019-02-28,5.577933221685533,28.0,83,0.0,11.6
2019-03-01,6.3778860617881294,28.0,80,0.0,6.1
2019-03-02,6.113230174159096,27.8,82,0.0,8.9
2019-03-03,6.457899921005509,27.4,83,8888.0,8.4
2019-03-04,6.537500609703525,26.8,86,12.3,9.6
2019-03-04,6.537500609703525,26.8,83,1.6,4.4
2019-03-05,6.280814985683507,27.2,85,0.0,8.9
2019-03-05,6.280814985683507,27.7,84,0.5,5.5
2019-03-06,6.746979900201765,26.2,90,1.4,7.3
2019-03-07,6.2292954416457365,25.2,92,18.7,2.2
2019-03-07,6.2292954416457365,27.5,75,0.0,4.7
2019-03-08,5.3505941528701575,26.6,83,18.4,0.0
2019-03-09,4.193019780936829,27.0,83,0.0,4.1
2019-03-09,4.193019780936829,25.0,65,0.0,10.4
2019-03-10,5.480940923166728,27.3,78,0.0,6.1
2019-03-10,5.480940923166728,27.5,75,0.0,11.2
2019-03-11,5.672789582687095,27.1,82,3.5,10.8
2019-03-11,5.672789582687095,29.2,74,34.1,6.5
2019-03-12,6.069524106148495,27.4,81,0.0,8.5
2019-03-12,6.069524106148495,29.3,72,0.0,11.2
2019-03-13,6.638300739985856,26.3,86,0.0,9.7
2019-03-14,5.5899448344064595,29.3,81,29.5,5.4
2019-03-15,6.3321256711322915,26.4,84,0.0,2.8
2019-03-16,6.5941937768479955,26.1,88,0.0,5.0
2019-03-17,7.252768441293978,26.1,88,0.6,2.0
2019-03-18,9.49806201337469,26.0,92,1.6,5.2
2019-03-19,10.341375094164475,27.0,88,10.0,2.6
2019-03-20,9.522048101837772,27.2,87,10.9,8.2
2019-03-21,11.554592465327069,27.9,84,8888.0,6.5
2019-03-22,10.639243886620767,27.8,85,5.6,2.1
2019-03-23,8.263395134396438,26.6,87,73.9,5.2
2019-03-24,10.185500959861741,26.9,88,4.9,2.6
2019-03-25,10.209576229248189,26.3,93,40.0,2.4
2019-03-26,10.5404362178583,25.9,90,37.8,5.0
2019-03-27,12.259911461885322,26.3,88,9.3,7.6
2019-03-28,11.194948627965138,28.7,85,6.4,5.4
2019-03-29,11.554080472412723,27.3,76,0.0,6.8
2019-03-30,11.901542840324113,27.3,82,0.0,7.7
2019-03-31,11.398702654553452,28.1,82,0.0,9.1
2019-04-04,14.550108192080932,27.3,82,0.0,5.8
2019-04-05,13.919101915774453,26.9,84,1.0,6.7
2019-04-07,13.992190166407129,27.2,75,8888.0,3.0
2019-04-09,12.361115450774292,25.0,73,0.0,10.7
2019-04-10,15.75003151699431,27.9,56,0.0,11.1
2019-04-11,14.766940327432364,28.9,70,0.0,8.8
2019-04-12,15.424781333906287,29.7,72,0.0,11.4
2019-04-13,15.805512285501699,27.7,85,0.0,5.2
2019-04-14,18.034221610911,27.3,86,0.0,6.1
2019-04-15,16.14599741285321,27.4,85,0.0,7.2
2019-04-16,14.956792491294228,27.9,80,8888.0,10.4
2019-04-17,14.974327416916312,28.3,84,5.0,9.4
2019-04-18,15.91012187577608,28.2,74,0.0,9.2
2019-04-19,16.84591633463585,28.2,78,0.0,10.9
2019-04-20,17.781710793495616,27.9,72,0.0,10.5
2019-04-21,18.717505252355384,27.9,76,0.0,8.1
2019-04-22,19.65329971121515,28.1,74,0.0,8.5
2019-04-23,20.58909417007492,28.0,75,0.0,10.0
2019-04-24,16.436845390433465,28.0,76,0.0,9.2
2019-04-25,18.328640189516886,28.2,76,0.0,10.2
2019-04-26,17.51183593372605,27.6,77,0.0,9.2
2019-04-27,18.852554580140364,27.7,82,0.0,7.8
2019-04-28,20.350057952755694,27.0,82,0.0,6.8
2019-04-29,16.894375916570798,27.2,83,0.2,5.2
2019-04-30,18.868330108638265,27.2,88,8888.0,2.1
2019-05-04,19.83156500325376,26.1,88,0.0,5.1
2019-05-05,19.81440866200306,28.1,78,13.0,6.7
2019-05-07,20.316068126349652,26.1,79,0.0,8.8
2019-05-09,19.693429283548795,25.8,71,0.0,9.7
2019-05-10,19.299295298854208,25.8,73,0.0,8.0
2019-05-11,17.800996872190503,28.1,70,0.0,9.3
2019-05-12,19.81311243960533,29.5,76,0.0,3.0
2019-05-13,17.488904924655476,26.7,80,0.0,8.8
2019-05-14,19.45002570470245,27.2,79,0.0,7.8
2019-05-15,18.59355042426949,27.5,69,0.0,10.1
2019-05-16,19.282079629205466,26.9,71,0.0,10.8
2019-05-17,19.072241219298437,26.8,71,0.0,10.3
2019-05-18,21.538179316681067,27.1,72,0.0,10.8
2019-05-19,15.53862189463836,27.4,73,0.0,10.7
2019-05-20,10.47458282476899,27.4,74,0.0,10.9
2019-05-21,11.801679738111416,27.6,73,0.0,10.8
2019-05-22,10.239865188729576,27.9,72,0.0,11.0
2019-05-23,10.92363213031018,27.9,69,0.0,10.3
2019-05-24,8.783496570833504,27.7,64,0.0,10.2
2019-05-25,9.078084183817461,26.8,72,0.0,10.6
2019-05-26,14.797084847727325,27.1,74,0.0,9.9
2019-05-27,14.3803573121693,27.7,72,0.0,10.3
2019-05-28,9.074338466372623,27.4,72,0.0,10.6
2019-05-29,6.95691234503947,27.7,69,0.4,8.7
2019-05-30,7.035465154453926,27.1,69,0.0,10.5
2019-05-31,4.631650689458758,26.7,69,0.0,10.4
2019-06-01,3.9863338251268847,27.5,69,0.0,10.5
2019-06-02,3.3482341353961314,27.8,70,0.0,10.6
2019-06-03,3.654578585311595,27.8,70,0.0,10.2
2019-06-04,5.413841589179564,27.1,87,3.9,4.8
2019-06-04,5.413841589179564,27.5,76,0.0,0.8
2019-06-05,2.6469396284112743,27.6,83,0.0,10.7
2019-06-05,2.6469396284112743,27.7,75,0.0,6.5
2019-06-06,3.0185245230772657,26.8,74,0.0,9.7
2019-06-07,3.075563833169792,26.7,75,0.0,10.4
2019-06-07,3.075563833169792,24.9,64,0.0,10.5
2019-06-08,3.172969570837323,27.8,72,0.0,9.9
2019-06-09,3.167372639536009,27.2,72,0.0,10.5
2019-06-09,3.167372639536009,26.1,70,0.0,9.2
2019-06-10,1.6610315192080993,27.3,73,0.0,9.7
2019-06-10,1.6610315192080993,27.6,66,0.0,11.1
2019-06-11,1.6066594529048543,27.4,75,0.0,10.5
2019-06-11,1.6066594529048543,27.8,76,0.0,11.1
2019-06-12,1.5844269893339298,28.3,69,0.0,8.7
2019-06-12,1.5844269893339298,28.6,80,1.5,9.1
2019-06-13,1.387369439952298,28.5,72,0.0,10.4
2019-06-14,1.181179236834286,28.4,70,8888.0,5.7
2019-06-15,0.974989033716274,26.6,72,0.0,8.6
2019-06-16,0.768798830598262,26.0,72,0.0,10.6
2019-06-17,0.8296495032118284,26.2,66,0.0,10.0
2019-06-18,0.6995320347066788,25.4,73,0.0,10.6
2019-06-19,1.1855144722727842,25.1,72,0.0,10.5
2019-06-20,1.1781326938356496,25.7,73,0.0,10.1
2019-06-21,0.9186432490277808,24.8,72,0.0,9.7
2019-06-22,0.8923653376237528,25.9,74,0.0,10.2
2019-06-23,1.9541284333103282,25.6,70,0.0,9.7
2019-06-24,0.7953826261902078,25.4,73,0.0,9.1
2019-06-25,0.5991575244675164,26.3,68,0.0,10.1
2019-06-26,0.5382110066084085,25.0,73,0.0,9.9
2019-06-27,0.9610313133661776,25.1,71,0.0,10.4
2019-06-28,0.48858174141142535,24.8,70,0.0,10.1
2019-06-29,0.5295995973282763,24.3,66,0.0,10.5
2019-06-30,0.5804316682861885,24.9,68,0.0,10.4
2019-07-04,2.0740710326091873,25.7,78,1.0,4.3
2019-07-05,2.4309739337962655,26.9,74,0.0,6.5
2019-07-07,3.554369193712089,23.6,66,0.0,10.6
2019-07-09,3.941123098998261,26.7,72,0.0,10.0
2019-07-10,3.597101392843441,27.7,72,0.0,11.1
2019-07-11,5.161173209032651,29.0,70,0.0,11.6
2019-07-12,12.14078571868263,29.0,75,0.0,11.1
2019-07-13,15.522234220844162,25.2,64,0.0,8.4
2019-07-14,18.56424975199503,25.1,66,0.0,10.7
2019-07-15,21.60626528314589,25.2,68,0.0,10.4
2019-07-16,16.673204311501863,25.5,69,0.0,10.5
2019-07-17,17.023749166434076,25.8,71,0.0,10.3
2019-07-18,14.179740402369235,26.4,70,0.0,9.8
2019-07-19,12.553850251184265,26.7,72,0.0,10.1
2019-07-20,12.443837167766093,27.0,71,0.0,3.7
2019-07-21,17.560733647100328,25.7,71,0.0,10.5
2019-07-22,17.460636951227567,25.8,68,0.0,10.6
2019-07-23,17.36054025535481,25.9,66,0.0,10.7
2019-07-24,17.260443559482052,25.4,60,0.0,10.7
2019-07-25,17.160346863609295,25.9,67,0.0,10.7
2019-07-26,17.060250167736534,25.4,69,0.0,10.7
2019-07-27,16.960153471863773,25.7,72,0.0,9.9
2019-07-28,16.860056775991016,24.8,72,0.0,10.7
2019-07-29,16.759960080118258,25.7,66,0.0,10.8
2019-07-30,16.6598633842455,25.4,68,0.0,10.8
2019-07-31,16.55976668837274,26.1,68,0.0,10.9
2019-08-01,10.293347894369445,26.2,68,0.0,10.8
2019-08-02,9.75475747258753,26.3,60,0.0,10.5
2019-08-03,9.186314772397564,24.8,67,0.0,10.8
2019-08-04,10.354915764225417,26.7,83,0.0,10.6
2019-08-04,10.354915764225417,24.8,56,0.0,10.8
2019-08-05,10.435703152604027,26.7,76,0.0,10.9
2019-08-05,10.435703152604027,24.5,65,0.0,10.8
2019-08-06,9.532467581021086,25.0,68,0.0,10.0
2019-08-07,9.982085174687555,24.6,72,0.0,10.6
2019-08-07,9.982085174687555,25.2,72,0.0,10.2
2019-08-08,10.09884482330554,25.5,72,0.0,8.8
2019-08-09,13.730178199116333,26.3,66,0.0,7.2
2019-08-09,13.730178199116333,27.5,67,0.0,9.7
2019-08-10,13.895506612368179,26.1,68,0.0,8.0
2019-08-10,13.895506612368179,28.3,68,0.0,10.9
2019-08-11,10.175625290236733,25.6,76,0.0,9.6
2019-08-11,10.175625290236733,29.6,70,0.0,11.3
2019-08-12,11.373398749305778,27.4,73,0.0,10.9
2019-08-12,11.373398749305778,30.0,75,0.0,9.4
2019-08-13,12.565341445660374,27.1,72,0.0,10.8
2019-08-14,12.327108385503918,26.6,76,0.0,10.5
2019-08-15,13.28768731647279,25.6,64,0.0,10.3
2019-08-16,13.844833750102312,26.6,65,0.0,10.4
2019-08-17,13.2069674196122,26.3,66,0.0,11.2
2019-08-18,12.810138433398407,26.0,67,0.0,9.7
2019-08-19,12.749485554057365,26.6,64,0.0,9.7
2019-08-20,12.689339401959641,27.4,62,0.0,10.0
2019-08-21,12.77471078264172,26.4,61,0.0,10.4
2019-08-22,12.744975724105387,26.0,69,0.0,9.7
2019-08-23,17.9140178409226,26.8,66,0.0,9.5
2019-08-24,12.823304054250201,27.3,66,0.0,10.5
2019-08-25,15.077276251143845,27.0,76,0.0,9.9
2019-08-26,16.31712182826256,26.1,74,0.0,9.4
2019-08-27,14.241346513503649,25.5,72,0.0,9.6
2019-08-28,12.929584498231355,26.2,64,0.0,9.7
2019-08-29,12.81735155936096,26.0,69,0.0,10.6
2019-08-30,13.985728052636288,26.5,60,0.0,10.5
2019-08-31,13.861050801183021,26.7,59,0.0,10.5
2019-09-04,19.9280185625923,27.7,84,0.0,9.9
2019-09-05,16.291829349904578,28.0,69,0.0,10.8
2019-09-07,14.739733293128486,25.2,71,0.0,10.6
2019-09-09,13.631313274270182,26.6,70,0.0,7.6
2019-09-10,16.990712617647066,27.9,64,0.0,11.1
2019-09-11,15.190343158862364,29.9,70,0.0,9.1
2019-09-12,15.895200787148722,29.1,70,0.0,11.9
2019-09-13,15.475059064566496,26.7,70,8888.0,7.8
2019-09-14,16.78669817612777,27.3,67,0.0,10.3
2019-09-15,17.655829268349656,26.8,68,0.0,10.2
2019-09-16,17.645889314216717,25.8,70,0.0,10.5
2019-09-17,16.912445545339704,26.3,76,0.0,10.2
2019-09-18,18.245134552694978,27.1,70,0.0,9.9
2019-09-19,19.232812884907197,26.5,71,0.0,10.4
2019-09-20,20.392777725990545,27.6,70,0.0,10.3
2019-09-21,20.911501051176707,26.9,72,0.0,10.5
2019-09-22,20.5277041075,26.8,71,0.0,10.3
2019-09-23,20.689261363844693,26.7,72,0.0,10.5
2019-09-24,19.651296633358115,27.6,72,0.0,10.5
2019-09-25,20.998802040886094,26.7,77,0.0,10.5
2019-09-26,20.58970785275083,27.1,74,0.0,10.7
2019-09-27,20.23084265686796,27.9,73,6.0,9.9
2019-09-28,21.89017519111258,28.3,66,0.0,10.4
2019-09-29,20.199352907779154,27.7,70,0.0,8.0
2019-09-30,22.200256481704503,28.1,68,0.0,10.7
2019-10-04,17.550822025250795,27.6,83,0.0,9.2
2019-10-05,17.438773627538236,27.8,73,0.0,10.4
2019-10-07,17.948447530948325,25.6,71,0.0,9.8
2019-10-09,21.337175017195282,27.2,61,0.0,10.4
2019-10-10,20.878666648739976,27.6,71,0.0,11.0
2019-10-11,20.893745942447556,29.9,68,0.0,10.2
2019-10-12,19.90232408009647,29.3,68,0.0,9.6
2019-10-13,21.856686679396713,28.7,66,0.0,11.0
2019-10-14,21.26985864964321,27.0,62,0.0,11.1
2019-10-15,20.189817290582983,28.9,67,0.0,10.7
2019-10-16,19.905199142859054,27.5,66,0.0,10.7
2019-10-17,18.80350404999258,27.8,64,0.0,8.0
2019-10-18,21.959932097832667,28.3,64,0.0,11.3
2019-10-19,21.0243424219944,28.6,68,0.0,11.5
2019-10-20,17.906924467497614,28.1,71,0.0,11.7
2019-10-21,19.966500166305728,28.9,70,0.0,11.4
2019-10-22,21.400422022079706,27.6,71,0.0,11.5
2019-10-23,20.72619463564379,28.2,65,0.0,11.5
2019-10-24,20.00548768377025,27.8,69,0.0,11.3
2019-10-25,18.512671468665225,29.1,66,0.0,11.5
2019-10-26,20.01414625588847,28.9,69,0.0,11.1
2019-10-27,20.1284370130319,29.2,66,0.0,11.2
2019-10-28,19.227586559347348,29.2,68,0.0,10.4
2019-10-29,15.037957119249098,27.9,68,0.0,7.4
2019-10-30,14.464648164924824,29.5,68,0.0,10.9
2019-10-31,13.629436760195539,29.7,68,0.0,10.8
2019-11-04,20.108027868495398,27.1,86,0.0,7.7
2019-11-05,20.049204646486057,26.8,76,0.0,10.8
2019-11-07,21.764153331000415,25.8,64,0.0,9.6
2019-11-09,18.137051474142332,27.2,58,0.0,10.8
2019-11-10,20.27482389642886,28.0,74,0.0,8.0
2019-11-11,18.44926111286085,29.7,75,4.5,11.0
2019-11-12,19.45832586431308,27.8,81,1.8,10.1
2019-11-13,19.868241549346095,29.1,77,0.0,11.4
2019-11-14,20.315205420672097,28.7,74,0.0,9.2
2019-11-15,20.159121917842338,28.3,70,0.0,11.8
2019-11-16,21.70886679513421,28.7,74,0.0,7.2
2019-11-17,19.4492020942531,29.8,68,0.0,11.5
2019-11-18,20.64307283251294,30.3,66,0.0,11.9
2019-11-19,21.397239706255117,29.0,76,0.0,11.4
2019-11-20,20.570032059321544,28.5,75,0.0,8.9
2019-11-21,20.260676457767982,29.0,73,8888.0,9.1
2019-11-22,21.129264464661933,29.0,77,0.0,9.9
2019-11-23,20.49635828255376,29.0,77,8888.0,9.7
2019-11-24,18.68437305613473,29.2,72,18.9,9.5
2019-11-25,21.424238509283928,29.0,72,0.0,8.8
2019-11-26,20.964646573202415,28.4,70,0.0,8.2
2019-11-27,20.62199581906775,29.0,75,0.0,11.5
2019-11-28,20.56749378420274,28.6,74,8888.0,8.9
2019-11-29,19.971049732529302,29.7,73,0.0,9.1
2019-11-30,20.6054809683221,28.9,76,0.0,9.4
2019-12-04,18.645145401074874,27.7,85,8888.0,7.2
2019-12-05,18.644755054301715,27.8,76,0.0,10.7
2019-12-07,25.08189734458846,26.1,66,0.0,10.6
2019-12-09,22.51770863026846,25.2,64,0.0,10.6
2019-12-10,22.263005517668052,28.2,63,0.0,11.1
2019-12-11,19.058443183450407,29.7,73,0.0,10.8
2019-12-12,18.20249474571387,28.1,76,6.2,9.7
2019-12-13,20.95965645885881,28.5,76,11.5,8.9
2019-12-14,19.777035357597004,29.1,76,0.0,7.5
2019-12-15,18.81422777258078,27.4,84,1.8,9.7
2019-12-16,19.400671210816927,27.4,82,0.4,6.5
2019-12-17,19.37439996858927,28.2,81,11.0,6.9
2019-12-18,19.293434993165135,28.1,82,1.5,7.3
2019-12-19,19.735984692986495,28.1,81,14.3,9.9
2019-12-20,19.374122490594274,28.0,77,0.0,8.4
2019-12-21,18.857126457839048,27.4,82,8888.0,9.4
2019-12-22,18.367224292522817,28.1,80,18.3,9.2
2019-12-23,16.84387996079131,28.7,77,1.4,8.2
2019-12-24,19.08898728254238,27.9,82,8888.0,9.0
2019-12-25,18.06551828279792,26.8,85,2.0,8.1
2019-12-26,20.27210684389172,27.1,84,39.6,7.0
2019-12-27,17.803702960952943,28.5,78,8888.0,7.6
2019-12-28,16.48151293662066,29.4,78,8.5,9.8
2019-12-29,14.89708116790387,27.4,86,0.0,10.5
2019-12-30,12.3331370235622,27.8,82,1.3,5.8
2019-12-31,13.766398244108656,27.7,82,8888.0,6.9
